indice_tiempo,financiamiento_mercado_capitales_ge_on_vcp,financiamiento_mercado_capitales_ge_ff,financiamiento_mercado_capitales_ge_acciones,financiamiento_mercado_capitales_ge_cdcp,financiamiento_mercado_capitales_ge_total,financiamiento_mercado_capitales_pymes_on_vcp,financiamiento_mercado_capitales_pymes_ff,financiamiento_mercado_capitales_pymes_acciones,financiamiento_mercado_capitales_pymes_cdcp,financiamiento_mercado_capitales_pymes_pagares,financiamiento_mercado_capitales_pymes_total,financiamiento_mercado_capitales_total_general,tasa_interes_vdf_senior,tasa_interes_cpdp,tasa_interes_cpda,emisiones_ge_on,emisiones_ge_ff,emisiones_ge_acc,emisiones_ge_cpd,emisiones_ge_total,emisiones_pymes_on,emisiones_pymes_ff,emisiones_pymes_acc,emisiones_pymes_cpd,emisiones_pymes_pag,emisiones_pymes_total,emisiones_totales_ge_pymes,eff_agropecuarios,eff_estructurados,eff_creditos_comerciales,eff_flujos_futuros,eff_inmobiliario_hipotecario,eff_leasing,eff_prendarios,eff_obras_publicas,eff_prestamos_personales_consumo,eff_tarjetas_credito,eff_innovacion_financiera,eff_financiacion_exportaciones,act_financieras_seguros,actividades_inmobiliarias,agricultura_ganaderia,alimentos_bebidas,bancos,calzado_indumentaria,comercio,construccion,distribucion_energia_electrica,distribucion_de_gas,editoriales_imprentas,equipamiento_hogar,generacion_energia_electrica,grupos_concesionarios,holdings,industria_automotriz,industria_petroleo_gas,industria_farmaceutica,industria_metalurgica_siderurgica,industria_quimica_petroquimica,manufacturas_origen_agropecuario,manufacturas_origen_industrial,manufacturas_actividades_empresariales,manufacturas_papel_celulosa,manufacturas_servicios_informaticos,manufacturas_tecnologia,manufacturas_telecomunicaciones,manufacturas_transporte_energia_electrica,manufacturas_transporte_gas,manufacturas_transporte_pasajeros_peajes
2008-01-01,5981012.658227848,216055382.05955023,,1424266.2298930802,223460660.94767118,,17342081.0,,12446146.79716996,,29788227.79716996,253248888.74484113,0.13338429979387784,0.16909407,0.14645578,1.0,21.0,,79.0,101.0,,3.0,,1758.0,,1761.0,1862.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2008-02-01,23245605.700712588,216245071.9975343,,1914502.460701521,241405180.15894842,,11990804.545954872,,13357787.87044944,,25348592.416404314,266753772.57535273,0.10883416024750232,0.1514781,0.1119829,1.0,11.0,,135.0,147.0,,2.0,,1625.0,,1627.0,1774.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-01,,207780813.86267802,291206082.1162343,1468700.21523074,500455596.1941431,350000.0,17863238.045813587,,13157049.968348421,,31370288.014162008,531825884.2083051,0.10980110242237302,0.13918052,0.12366054,,17.0,2.0,93.0,112.0,1.0,3.0,,1683.0,,1687.0,1799.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-01,11931786.331500392,318480117.18747944,,1445725.6512962843,331857629.1702761,,7112609.026183043,,11749327.978931433,,18861937.005114473,350719566.1753906,0.1154,0.1253628,0.12036075,1.0,22.0,,109.0,132.0,,3.0,,1995.0,,1998.0,2130.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2008-05-01,91729560.0,188936203.47094503,112012728.71917263,1493998.4751458282,394172490.6652634,460000.0,10099121.01910828,,13569674.074308902,,24128795.093417183,418301285.7586806,0.1621,0.19972734,0.15381799000000002,2.0,15.0,1.0,107.0,125.0,1.0,1.0,,2262.0,,2264.0,2389.0,,,,,,,,,,,,,0.28994128859459656,,0.004989719023013834,,,,,,,,,,,,,,,,0.7050689923823896,,,,,,,,,,,
2008-06-01,18149700.0,226837648.80921215,,1712992.5516562804,246700341.36086842,,3911980.0,,16409510.173827486,,20321490.173827484,267021831.53469592,0.2031,0.26158443,0.17449403,1.0,14.0,,133.0,148.0,,1.0,,2042.0,,2043.0,2191.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-07-01,73694467.38232866,353253066.8886348,1353135.3135313531,1604755.1107438016,429905424.6952386,,6239998.1833195705,,20778573.55702479,,27018571.74034436,456923996.43558294,0.172,0.23949667000000002,0.17665925999999998,2.0,19.0,1.0,133.0,155.0,,2.0,,2397.0,,2399.0,2554.0,,,,,,,,,,,,,0.4356595401371521,,,,,,,,,0.5643404598628479,,,,,,,,,,,,,,,,,,,,
2008-08-01,12250825.082508251,125661391.78563595,,1132755.9408549035,139044972.80899912,1300000.0,9682000.0,,19019654.45234802,,30001654.45234802,169046627.26134714,0.1614,0.19343918999999998,0.16039788000000002,3.0,9.0,,107.0,119.0,2.0,1.0,,2051.0,,2054.0,2173.0,,,,,,,,,,,,,0.29518497771499547,,,0.022138873328624662,0.608879904527631,,,,,,,,,,,,,0.07379624442874887,,,,,,,,,,,,
2008-09-01,198000000.0,228611501.8660809,,1269030.76524331,427880532.6313242,,28137785.782779146,,18442459.466727145,,46580245.249506295,474460777.88083047,0.1475,0.20361969,0.16575677,2.0,14.0,,118.0,134.0,,5.0,,2404.0,,2409.0,2543.0,,,,,,,,,,,,,0.10101010101010101,,,,,,,,,,,,0.898989898989899,,,,,,,,,,,,,,,,,
2008-10-01,,342927760.4702981,,332992.0246395072,343260752.4949376,,10816925.0,,13106790.696906064,,23923715.696906064,367184468.1918437,0.252,0.25693753999999996,0.21185995,,17.0,,35.0,52.0,,1.0,,2174.0,,2175.0,2227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-11-01,11522900.0,276897954.0,,341955.7367204156,288762809.73672044,,20907922.758852914,,11525563.1204396,,32433485.879292514,321196295.61601293,0.26391773809123203,0.33032809999999996,0.26136896,1.0,21.0,,32.0,54.0,,3.0,,2341.0,,2344.0,2398.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-01,7547169.811320755,264707655.7158154,,480143.70986573264,272734969.2370019,1350000.0,18802718.15375538,,16343404.442498544,,36496122.596253924,309231091.8332558,0.3236962069050471,0.29930165,0.24976435,1.0,23.0,,48.0,72.0,1.0,6.0,,2196.0,,2203.0,2275.0,,,,,,,,,,,,,,,0.15173364436433037,,,,0.8482663556356695,,,,,,,,,,,,,,,,,,,,,,,
2009-01-01,24464663.42258034,180731871.6576023,,1010202.8175106702,206206737.8976933,289226.3195950831,9685347.982405573,,17706776.508247778,,27681350.810248435,233888088.70794174,0.20694158228999998,0.31578609,0.20210367999999998,2.0,16.0,,85.0,103.0,1.0,3.0,,2488.0,,2492.0,2595.0,,,,,,,,,,,,,,,,,,0.011684075618317968,0.17513450050722998,0.813181423874452,,,,,,,,,,,,,,,,,,,,,,
2009-02-01,101603000.0,108330926.6595428,,698361.3746232155,210632288.034166,,14408680.375090925,,16980685.986464195,,31389366.36155512,242021654.39572114,0.17893427723,0.27169676,0.18803503,1.0,14.0,,59.0,74.0,,4.0,,2248.0,,2252.0,2326.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
